"tipo";"en";"fr";"japones_literal";"propuesta_1";"propuesta_2";"propuesta_3";"decision";"glosario_actual";"notas";"japones_original";"gameKeys";"usos"
"territory";"Private Mansion - The Lavender Beds";"Villa - Lavandière";"Lechos de Lavanda: residencia";"Mansión - Lavandales";"Casa Grande de los Lavandales";"";"Mansión - Las Camas de Lavanda";"";"El nombre del barrio depende de su propia decisión; aplicar la misma forma en toda la familia.";"ラベンダーベッド：レジデンス";"PlaceName#1108.0";"map,territory"
"territory";"Propylaion";"Le Propylée";"Propylaion (nombre transcrito)";"Propileo";"Los Propileos";"";"Los Propileos";"Propylaion";"Protegido en el glosario; revisar esa protección si se traduce.";"プロピュライオン";"PlaceName#3926.0";"map,marker,territory"
"territory";"Psiscape V1.0";"Psistice v1.0";"Mundo de pruebas «Psi» V1.0";"Psiscape V1.0";"Psimundo V1.0";"Psipanorama V1.0";"Psiscape V1.0";"";"Aplicar el mismo criterio a las tres familias y conservar la versión.";"被検世界「プサイ」V1.0";"PlaceName#2725.0";"duty,map,territory"
"territory";"Psiscape V2.0";"Psistice v2.0";"Mundo de pruebas «Psi» V2.0";"Psiscape V2.0";"Psimundo V2.0";"Psipanorama V2.0";"Psiscape V2.0";"";"Aplicar el mismo criterio a las tres familias y conservar la versión.";"被検世界「プサイ」V2.0";"PlaceName#2736.0";"duty,map,territory"
"territory";"Ragnarok Central Core";"Noyau central du Ragnarok";"Sección central";"Núcleo Central del Ragnarok";"Corazón del Ragnarok";"";"Núcleo Central del Ragnarok";"";"";"中枢区画";"PlaceName#468.0";"duty,map,territory"
"territory";"Ragnarok Drive Cylinder";"Cylindre propulseur du Ragnarok";"Mamparo móvil";"Cilindro Propulsor del Ragnarok";"Cilindro de Impulsión del Ragnarok";"";"Cilindro Propulsor del Ragnarok";"";"";"稼働隔壁";"PlaceName#467.0";"duty,map,territory"
"territory";"Ragnarok Main Bridge";"Pont principal du Ragnarok";"Primer puente de mando";"Puente Principal del Ragnarok";"Puente de Mando del Ragnarok";"";"Puente Principal del Ragnarok";"";"";"第一艦橋";"PlaceName#469.0";"map,territory"
"territory";"Rebel Ring";"Ring de l'Inspiration artistique";"Ring del Arte (inglés transcrito)";"Cuadrilátero Rebelde";"Ring de la Rebelión";"";"Ring de la Rebelión";"";"";"リング・オブ・アート";"PlaceName#5175.0";"duty,map,territory"
"territory";"Recollection";"Salle du trône séculaire";"Sala del trono";"Remembranza";"Evocación";"";"Salón del Trono Secular";"";"";"玉座の間";"PlaceName#5153.0";"duty,map,territory"
"territory";"Reisen Temple";"Sanctuaire Reisen";"Recinto del santuario Reisen";"Templo Reisen";"Santuario Reisen";"";"Santuario Reisen";"";"";"醴泉神社境内";"PlaceName#2392.0";"map,marker,territory"
"territory";"Reisen Temple Road";"Chemin du sanctuaire Reisen";"Camino de acceso al santuario Reisen";"Camino del Templo Reisen";"Senda del Santuario Reisen";"";"Senda del Santuario Reisen";"";"";"醴泉神社参道";"PlaceName#2391.0";"duty,map,marker,territory"
"territory";"Restricted Archives";"Archives interdites du Noumène";"Gran biblioteca Noumenon: archivo de libros prohibidos";"Archivos Restringidos";"Archivo Prohibido";"";"Archivo Prohibido";"";"";"ヌーメノン大書院：禁書庫";"PlaceName#4034.0";"map,territory"
"territory";"Rhotano Sea";"Mer de Rhotano";"Mar de Rhotano";"Mar de Rhotano";"Mar Rhotano";"";"Mar de Rhotano";"";"";"ロータノ海";"PlaceName#462.0,PlaceName#3447.0";"duty,map,territory"
"territory";"Ring Noir";"Ring fatal";"Ring del Vampiro (inglés transcrito)";"Cuadrilátero Negro";"Ring Oscuro";"";"Ring Oscuro";"";"";"リング・オブ・ヴァンプ";"PlaceName#5369.0";"duty,map,territory"
"territory";"Royal Palace";"Palais royal d'Ala Mhigo";"Palacio real de Ala Mhigo";"Palacio Real";"Palacio de la Corona";"";"Palacio Real";"";"";"アラミゴ王宮";"PlaceName#2294.0";"mapsub,marker,territory"
"territory";"Ruby Bazaar Offices";"Salle d'accueil du Bazar de Rubis";"Sala de recepción de la casa comercial de Ul'dah";"Oficinas del Bazar Rubí";"Despachos del Bazar de Rubí";"";"Despachos del Bazar de Rubí";"";"";"ウルダハ商館応接室";"PlaceName#2927.0";"map,territory"
"territory";"Ruling Chamber";"Salle des sentences";"Lugar del juicio por duelo";"Sala de Juicios";"Cámara del Juicio";"";"Cámara del Juicio";"";"";"決闘裁判場";"PlaceName#2336.0";"duty,map,territory"
"territory";"Sacrificial Chamber";"Salle des offrandes";"Fosa de ofrendas";"Cámara de los Sacrificios";"Sala de las Ofrendas";"";"Sala de las Ofrendas";"";"";"供物穴";"PlaceName#2083.0";"map,territory"
"territory";"Saint Endalim's Scholasticate";"Scolasticat Saint-Endalim";"Seminario de san Endalim";"Escolasticado de San Endalim";"Seminario de San Endalim";"";"Seminario de San Endalim";"";"";"聖アンダリム神学院";"PlaceName#2337.0";"map,marker,territory"
"territory";"Saint Mocianne's Arboretum";"Arboretum Sainte-Mocianne";"Jardín botánico de santa Mocianne";"Arboreto de Santa Mocianne";"Jardín Botánico de Santa Mocianne";"";"Arboretum Santa Mocianne";"";"";"聖モシャーヌ植物園";"PlaceName#2034.0";"duty,map,marker,territory"
"territory";"San d'Oria: The Second Walk";"San d'Oria - La deuxième perambulation";"San d'Oria: Segundo Paseo (inglés transcrito)";"San d'Oria: Segunda Travesía";"San d'Oria: Segundo Recorrido";"";"San d'Oria: Segunda Travesía";"";"";"サンドリア：ザ・セカンドウォーク";"PlaceName#5240.0";"duty,map,marker,territory"
"territory";"Sanctum of the Twelve";"Sanctuaire des Douze";"Gran catedral de los doce dioses";"Santuario de los Doce";"Catedral de los Doce";"";"Santuario de los Doce";"";"";"十二神大聖堂";"PlaceName#112.0";"duty,map,mapsub,marker,territory"
"territory";"Scratching Ring";"Ring des Griffes félines";"Ring del Gato (inglés transcrito)";"Cuadrilátero del Zarpazo";"Ring de las Garras";"";"Ring de las Garras";"";"";"リング・オブ・キャット";"PlaceName#5104.0";"duty,map,territory"
"territory";"Seal Rock";"Rocher des tréfonds";"Roca de la Foca / del Sello (inglés transcrito, significado ambiguo)";"Roca del Sello";"Roca de las Focas";"";"Roca del Sello";"";"";"シールロック";"PlaceName#496.0";"duty,map,territory"
"territory";"Seat of the First Bow";"Salle de commandement du Carquois";"Sala de mando de la unidad del valor divino";"Sala de Mando del Carcaj";"Sede del Primer Arco";"";"Sala de Mando del Carcaj";"la Sala de Mando del Carcaj";"";"神勇隊司令室";"PlaceName#346.0";"map,territory"
"territory";"Seat of the Lord Commander";"Siège du capitaine général";"Despacho del gran maestre de los Caballeros del Templo";"Sede del Gran Maestre";"Despacho del Gran Maestre";"";"Sede del Gran Maestre";"";"";"神殿騎士団総長室";"PlaceName#2335.0";"map,territory"
"territory";"Second Board of the Unbroken";"2e plateau";"Entrenamiento de combate de bestias: segundo tablero";"Segundo Tablero de los Invictos";"Segundo Tablero de los Indómitos";"Segundo Tablero de los Inquebrantables";"Segundo Tablero de los Inquebrantables";"Segundo Tablero de los Inquebrantables";"";"闘獣練 第二盤";"PlaceName#5598.0";"duty,map,territory"
"territory";"Second Master's Board";"2e plateau expert";"Entrenamiento de combate de bestias: segundo tablero especial";"Segundo Tablero del Maestro";"Segundo Tablero Magistral";"";"Segundo Tablero del Maestro";"Segundo Tablero del Maestro";"";"闘獣練 特二盤";"PlaceName#5601.0";"duty,map,territory"
"territory";"Shisui of the Violet Tides";"Palais aux Marées violettes";"Palacio de Aguas Violetas / alrededores del Palacio de Aguas Violetas";"Shisui de las Mareas Violetas";"Palacio de las Mareas Violetas";"";"Palacio de las Mareas Violetas";"";"";"紫水宮 / 紫水宮周辺";"PlaceName#2515.0,PlaceName#2779.0";"duty,map,marker,territory"
"territory";"Sigmascape V1.0";"Sigmastice v1.0";"Mundo de pruebas «Sigma» V1.0";"Sigmascape V1.0";"Sigmamundo V1.0";"Sigmapanorama V1.0";"Sigmascape V1.0";"";"Aplicar el mismo criterio a las tres familias y conservar la versión.";"被検世界「シグマ」V1.0";"PlaceName#2717.0";"duty,map,territory"
"territory";"Sigmascape V2.0";"Sigmastice v2.0";"Mundo de pruebas «Sigma» V2.0";"Sigmascape V2.0";"Sigmamundo V2.0";"Sigmapanorama V2.0";"Sigmascape V2.0";"";"Aplicar el mismo criterio a las tres familias y conservar la versión.";"被検世界「シグマ」V2.0";"PlaceName#2718.0";"duty,map,territory"
"territory";"Sigmascape V3.0";"Sigmastice v3.0";"Mundo de pruebas «Sigma» V3.0";"Sigmascape V3.0";"Sigmamundo V3.0";"Sigmapanorama V3.0";"Sigmascape V3.0";"";"Aplicar el mismo criterio a las tres familias y conservar la versión.";"被検世界「シグマ」V3.0";"PlaceName#2719.0";"duty,map,territory"
"territory";"Sigmascape V4.0";"Sigmastice v4.0";"Mundo de pruebas «Sigma» V4.0";"Sigmascape V4.0";"Sigmamundo V4.0";"Sigmapanorama V4.0";"Sigmascape V4.0";"";"Aplicar el mismo criterio a las tres familias y conservar la versión.";"被検世界「シグマ」V4.0";"PlaceName#2720.0";"duty,map,territory"
"territory";"Singularity Reactor";"Réacteur de singularité";"Reactor de Singularidad (inglés transcrito)";"Reactor de Singularidad";"Reactor de la Singularidad";"";"Reactor de Singularidad";"";"";"シンギュラリティ・リアクター";"PlaceName#2150.0,PlaceName#2178.0";"duty,map,territory"
"territory";"Skydeep Cenote Inner Chamber";"Profondeurs du cénote des Cieux infinis";"Cenote de la profundidad celeste: zona más profunda";"Cámara Interior del Cenote de los Cielos Profundos";"Cámara Interior del Cenote del Abismo Celeste";"";"Cámara Interior del Cenote de los Cielos Profundos";"";"Depende de la decisión de The Skydeep Cenote.";"天深きセノーテ 最深部";"PlaceName#4751.0";"map,marker,territory"
"territory";"Smileton";"Risette-sur-lune";"Villa Sonrisa (nombre inglés transcrito)";"Villa Sonrisa";"Sonrisalia";"";"Villa Sonrisa";"";"";"スマイルトン";"PlaceName#3770.0";"duty,map,marker,territory"
"territory";"Sneaky Hollow";"Demeure de la femme à tête de citrouille";"Escondite del ser mágico";"Hondonada Furtiva";"Refugio Furtivo";"";"Hondonada Furtiva";"";"";"魔人の隠れ家";"PlaceName#4040.0";"map,territory"
"territory";"Snowcloak";"Manteneige";"Gran muralla de hielo de Manto de Nieve";"Manto de Nieve";"Manto Níveo";"";"Manto de Nieve";"";"";"スノークローク大氷壁";"PlaceName#404.0";"duty,map,marker,territory"
"territory";"Soul of the Creator";"L'Âme du Créateur";"Alma de Alexander (inglés transcrito)";"Alma del Creador";"Espíritu del Creador";"";"Alma del Creador";"";"";"ソウル・オブ・アレキサンダー";"PlaceName#1853.0";"duty,map,marker,territory"
"territory";"South Horn";"Île de Lunule méridionale";"Parte sur de la isla de la luna creciente";"Cuerno Sur";"Cuerno Meridional";"";"Cuerno Sur";"";"";"三日月島南部";"PlaceName#4932.0";"duty,map,territory"
"territory";"South Shroud";"Forêt du sud";"Bosque de la Vestidura Negra: bosque meridional";"Sudario Meridional";"Bosque Meridional";"Sudario Negro Meridional";"Bosque del sur";"el Sudario Meridional";"";"黒衣森：南部森林";"PlaceName#56.0";"duty,map,marker,territory"
"territory";"Southern Thanalan";"Thanalan méridional";"Thanalan meridional";"Thanalan Meridional";"Sur de Thanalan";"";"Sur de Thanalan";"";"";"南ザナラーン";"PlaceName#45.0";"duty,map,marker,territory"
"territory";"Sphere of Naught";"Sphère de l'absence";"Dominio de la oscuridad";"Esfera de la Nada";"Esfera del Vacío";"";"Esfera de la Nada";"";"";"暗闇の領域";"PlaceName#1436.0,PlaceName#3596.0";"duty,map,marker,territory"
"territory";"Starlight Stalls";"Marché des étoiles";"Mercado de la luz estelar";"Puestos de la Celebración de las Estrellas";"Mercado de las Estrellas";"";"Mercado de las Estrellas";"";"";"星芒マーケット";"PlaceName#4754.0";"map,territory"
"territory";"Steps of Faith";"Avancée de la Foi";"Corredor de las nubes";"Pasos de la Fe";"Pasarela de la Fe";"";"Pasarela de la Fe";"";"";"雲廊";"PlaceName#406.0";"duty,map,marker,territory"
"territory";"Stone Vigil";"Vigile de Pierre";"Vigilia de Piedra (inglés transcrito); variante con «asalto a la fortaleza»";"Vigilia de Piedra";"Vigía de Piedra";"";"Vigilia de Piedra";"";"";"ストーンヴィジル / 城塞攻略 ストーンヴィジル";"PlaceName#401.0,PlaceName#1060.0";"duty,map,marker,territory"
"territory";"Storm's Crown";"Toison des tempêtes";"Torre del viento de la cabellera maldita";"Corona de la Tormenta";"Corona de Tempestades";"";"Corona de Tempestades";"";"";"呪髪の風塔";"PlaceName#4045.0,PlaceName#4197.0";"duty,map,territory"
"territory";"Strategy Room";"Salle des opérations";"Sala de planificación de operaciones";"Sala de Estrategia";"Sala de Operaciones";"";"Sala de Estrategia";"";"";"作戦立案室";"PlaceName#4023.0";"map,territory"
"territory";"Strayborough";"Parc-aux-Errants";"Strayborough (nombre inglés transcrito, villa de los extraviados)";"Villa Errante";"Villa Extravío";"";"Villa Errante";"";"";"ストレイバロー";"PlaceName#5105.0";"duty,map,marker,territory"
"territory";"Stygian Insenescence Cells";"Laboratoire d'études des secrets du vivant";"Bloque de investigación de los misterios de la vida";"Celdas Estigias de la Eterna Juventud";"Cámaras Estigias de Inmortalidad";"";"Cámaras Estigias de Inmortalidad";"";"";"生命神秘研究棟";"PlaceName#4250.0";"duty,map,marker,territory"
"territory";"Sultana's Breath Apartment";"Le Souffle de la Sultane (appartement)";"Gran molino de Nanamo: habitación";"Apartamento del Aliento de la Sultana";"Apartamento del Soplo de la Sultana";"";"Apartamento del Aliento de la Sultana";"";"";"ナナモ大風車：部屋";"PlaceName#1816.0";"map,territory"
"territory";"Sultana's Breath Apartment Lobby";"Le Souffle de la Sultane (hall)";"Gran molino de Nanamo: vestíbulo";"Vestíbulo de los Apartamentos Aliento de la Sultana";"Vestíbulo del Aliento de la Sultana";"";"Vestíbulo de los Apartamentos Aliento de la Sultana";"";"Coordinar Sultana's Breath en vestíbulo, apartamento y nombre del edificio.";"ナナモ大風車：ロビー";"PlaceName#1815.0";"map,territory"
"territory";"Summit of Everkeep";"Sommet de la Gardienne de l'Éternité";"Nivel superior de Everkeep";"Cumbre de la Fortaleza Eterna";"Cima de Everkeep";"";"Cumbre de la Fortaleza Eterna";"";"Coordinar Everkeep en todas sus etiquetas y menciones.";"エバーキープ最上層";"PlaceName#5117.0";"duty,map,territory"
"territory";"Sunperch";"Salle de l'Aurore";"Sala del fénix dorado";"Nido del Sol";"Estrado Solar";"Alcázar del Sol";"Alcázar del Sol";"el Alcázar del Sol";"";"金凰の間";"PlaceName#4523.0";"duty,map,territory"
"territory";"Sylphstep";"Sylve sylphe sibylline";"Circuito de obstáculos especial inspirado en el territorio de las sílfides";"Paso de las Sílfides";"Salto de las Sílfides";"";"Paso de las Sílfides";"";"";"シルフ領風特設アスレチック";"PlaceName#2528.0";"duty,map,territory"
"territory";"Syrcus Tower";"Tour de Syrcus";"Torre de Syrcus";"Torre de Syrcus";"Torre Syrcus";"";"Torre de Syrcus";"";"";"シルクスの塔";"PlaceName#493.0";"duty,map,territory"
"territory";"Tender Valley";"Vallée des Pampas";"Valle de los Cactilios (nombre inglés transcrito)";"Valle de los Cactilios";"Valle Tierno";"";"Valle de los Cactilios";"";"";"サボテンダーバレー";"PlaceName#4918.0,PlaceName#4926.0";"duty,map,mapsub,marker,territory"
"territory";"Terncliff";"Rocasternes";"Acantilado del Charrán (inglés transcrito)";"Rocacharrán";"Acantilado del Charrán";"";"Rocacharrán";"";"";"ターンクリフ";"PlaceName#3571.0";"map,territory"
"territory";"Terncliff Bay";"Large de Rocasternes";"Aguas frente a Terncliff";"Bahía de Rocacharrán";"Bahía de Terncliff";"";"Bahía de Rocacharrán";"";"";"ターンクリフ沖";"PlaceName#3570.0";"duty,map,territory"
"territory";"The <italic(1)>Endeavor<italic(0)>";"L'Ambition";"Navío Empeño (nombre inglés transcrito)";"El <italic(1)>Empeño<italic(0)>";"El <italic(1)>Tesón<italic(0)>";"";"Empeño";"";"";"エンデバー号";"PlaceName#3477.0";"duty,map,territory"
"territory";"The <italic(1)>Misery<italic(0)>";"Le Misère";"Navío Miseria (nombre inglés transcrito)";"El <italic(1)>Miseria<italic(0)>";"El <italic(1)>Infortunio<italic(0)>";"";"Miseria";"";"";"ミゼリー号";"PlaceName#1960.0";"map,marker,territory"
"territory";"The <italic(1)>Prima Vista<italic(0)> Bridge";"Pont du Prima Vista";"Nave teatro Prima Vista: puente";"Puente del <italic(1)>Prima Vista<italic(0)>";"Puente de Mando del <italic(1)>Prima Vista<italic(0)>";"";"Puente del Prima Vista";"";"";"劇場艇プリマビスタ・ブリッジ";"PlaceName#2371.0";"map,marker,territory"
"territory";"The <italic(1)>Prima Vista<italic(0)> Tiring Room";"Salle de répétition du Prima Vista";"Nave teatro Prima Vista: almacén de decorados";"Camerino del <italic(1)>Prima Vista<italic(0)>";"Sala de Vestuario del <italic(1)>Prima Vista<italic(0)>";"";"Camerino del Prima Vista";"";"";"劇場艇プリマビスタ・大道具部屋";"PlaceName#2370.0";"map,marker,territory"
"territory";"The Abyssal Fracture";"Cœur de la lune rouge";"Fondo de la luna roja";"Fisura Abisal";"Fractura Abisal";"";"Fractura Abisal";"";"";"赤き月の底";"PlaceName#4441.0";"duty,map,territory"
"territory";"The Aery";"L'Aire";"Nido de los Dragones (inglés transcrito)";"El Nidal";"El Nido";"Nido de Dragones";"El Nido";"";"";"ドラゴンズエアリー";"PlaceName#2050.0";"duty,map,marker,territory"
"territory";"The Aetherfont";"Geysers d'éther / Île de Haam";"Isla de Haam / conjunto de géiseres de éter estelar";"Manantial de Éter";"Fuente Etérea";"";"Manantial de Éter";"";"";"ハーム島 / 星霊間欠泉群";"PlaceName#4297.0,PlaceName#4300.0,PlaceName#4306.0";"duty,map,mapsub,marker,territory"
"territory";"The Aetherial Slough";"Nappe stagnante";"Zona estancada del mar estelar";"Ciénaga Etérea";"Remanso Etéreo";"";"Remanso Etéreo";"";"";"星海滞留域";"PlaceName#4358.0";"duty,map,territory"
"territory";"The Ageless Necropolis";"Nécropole intemporelle";"Tierra colmada de muerte";"Necrópolis Eterna";"Necrópolis Intemporal";"";"Necrópolis Eterna";"";"";"死の満ちる地";"PlaceName#5284.0";"duty,map,territory"
"territory";"The Aitiascope";"Prisme de l'Aitia";"Espejo de cristal estelar Aition";"Etioscopio";"Aitiascopio";"Prisma de la Causa";"Etioscopio";"";"";"アイティオン星晶鏡";"PlaceName#4028.0,PlaceName#4037.0,PlaceName#4146.0";"duty,map,marker,territory"
"territory";"The Antitower";"L'Antitour";"Torre invertida";"Antitorre";"Torre Invertida";"";"Torre Invertida";"";"";"逆さの塔";"PlaceName#2088.0";"duty,map,marker,territory"
"territory";"The Arm of the Father";"Le Bras du Père";"Brazo de Gordias (inglés transcrito)";"Brazo del Padre";"Brazo de Gordias";"";"Brazo del Padre";"";"";"アーム・オブ・ゴルディオス";"PlaceName#1638.0";"duty,map,territory"
"territory";"The Arm of the Son";"Le Bras du Fils";"Brazo de Midas (inglés transcrito)";"Brazo del Hijo";"Brazo de Midas";"";"Brazo del Hijo";"";"";"アーム・オブ・ミダース";"PlaceName#1723.0";"duty,map,territory"
"territory";"The Azim Steppe";"Steppe d'Azim";"Estepa de Azim (inglés transcrito)";"Estepa de Azim";"Estepas de Azim";"";"Estepa de Azim";"la Estepa de Azim";"";"アジムステップ";"PlaceName#2411.0";"duty,map,marker,territory"
"territory";"The Backroom";"Le Repaire";"Trastienda (inglés transcrito)";"La Trastienda";"El Cuarto Trasero";"";"La Trastienda";"la Trastienda";"";"バックルーム";"PlaceName#4654.0";"map,marker,territory"
"territory";"The Battlehall";"Arène Triple Triade";"Sala de combate de cartas";"Sala de Duelos";"Salón de Combate";"";"Sala de Duelos";"";"";"カードバトルルーム";"PlaceName#1665.0";"duty,map,territory"
"territory";"The Bayside Battleground";"Le Rivage redoutable";"Campo de Batalla de la Bahía (inglés transcrito)";"Campo de Batalla de la Bahía";"Campo de Batalla Costero";"";"Campo de Batalla de la Bahía";"";"";"ベイサイド・バトルグラウンド";"PlaceName#4095.0";"duty,map,territory"
"territory";"The Binding Coil of Bahamut";"Abîme infini de Bahamut";"Gran laberinto de Bahamut";"Espiral de Contención de Bahamut";"Laberinto de Bahamut";"";"La Espiral de Contención de Bahamut";"";"";"大迷宮バハムート";"PlaceName#1759.0";"duty,map,territory"
"territory";"The Blessed Treasury";"Crique aux tributs";"Sala del tesoro";"Tesoro Bendito";"Tesorería Sagrada";"";"Tesoro Bendito";"";"";"宝物殿";"PlaceName#2295.0";"duty,map,territory"
"territory";"The Burden of the Father";"Le Fardeau du Père";"Carga de Gordias (inglés transcrito)";"Carga del Padre";"Fardo del Padre";"";"Carga del Padre";"";"";"バーデン・オブ・ゴルディオス";"PlaceName#1645.0";"duty,map,marker,territory"
"territory";"The Burden of the Son";"Le Fardeau du Fils";"Carga de Midas (inglés transcrito)";"Carga del Hijo";"Fardo del Hijo";"";"Carga del Hijo";"";"";"バーデン・オブ・ミダース";"PlaceName#1731.0";"duty,map,marker,territory"
"territory";"The Burn";"L'Escarre";"La Quemadura (inglés transcrito)";"La Quemadura";"La Calcinación";"El Yermo Calcinado";"La Quemadura";"the Burn";"";"ザ・バーン";"PlaceName#2851.0";"duty,map,marker,territory"
"territory";"The Burning Heart";"Cœur de Bahamut";"Núcleo de Bahamut";"Corazón Ardiente";"Corazón Llameante";"";"Corazón Ardiente";"";"";"バハムートコア";"PlaceName#1409.0";"duty,map,marker,territory"
"territory";"The Caustic Purgatory";"Bloc des créatures ex<->trê<->me<->ment nocives";"Bloque de aislamiento de organismos muy venenosos";"Purgatorio Cáustico";"Purgatorio Corrosivo";"";"Purgatorio Cáustico";"";"";"猛毒生物隔離棟";"PlaceName#4249.0";"duty,map,territory"
"territory";"The Chamber of Fourteen";"Prétoire des Quatorze";"Sala de los catorce asientos";"Cámara de los Catorce";"Salón de los Catorce";"";"Cámara de los Catorce";"";"";"十四座の間";"PlaceName#4307.0";"duty,map,territory"
"territory";"The Chrysalis";"La Chrysalide";"Caparazón de los preceptos";"La Crisálida";"El Capullo";"";"La Crisálida";"";"";"戒律の殻";"PlaceName#1390.0";"duty,map,territory"
"territory";"The Churning Mists";"L'Écume des cieux de Dravania";"Mar de nubes de Dravania";"Brumas Agitadas";"Brumas Turbulentas";"Churning Mists";"El Mar de Nubes de Dravania";"las Churning Mists";"El japonés lo vincula al mar de nubes de Dravania; distinguirlo de The Sea of Clouds.";"ドラヴァニア雲海";"PlaceName#2002.0";"duty,map,marker,territory"
"territory";"The Clockwork Castletown";"Le Traquenard oriental";"Palacio de mecanismos orientales";"Ciudadela Mecánica";"Ciudadela de los Engranajes";"";"Ciudadela Mecánica";"";"";"東方絡繰御殿";"PlaceName#4093.0";"duty,map,territory"
"territory";"The Confessional of Toupasa the Elder";"Confessionnal de Toupasa l'ancien";"Lugar de veneración divina del gran Toupasa";"Confesionario de Toupasa el Anciano";"Oratorio de Toupasa el Anciano";"";"Oratorio de Toupasa el Anciano";"";"";"大トゥパサの崇神所";"PlaceName#3191.0,PlaceName#3228.0";"duty,map,marker,territory"
"territory";"The Copied Factory";"Réplique de l'usine désaffectée";"Ruinas de la fábrica copiada";"Fábrica Copiada";"Réplica de la Fábrica";"";"Ruinas de la fábrica copiada";"the Copied Factory";"Protegido en el glosario; revisar esa protección si se traduce.";"複製サレタ工場廃墟";"PlaceName#3425.0,PlaceName#3441.0";"duty,map,marker,territory"
"territory";"The Core";"Cœur d'Éden";"Núcleo de Edén";"El Núcleo";"Corazón de Edén";"";"Corazón de Edén";"";"";"エデンコア";"PlaceName#3214.0";"duty,map,marker,territory"
"territory";"The Crown";"Ring du champion";"Ring del Tirano (inglés transcrito)";"La Corona";"Cuadrilátero de la Corona";"";"La Corona";"";"";"リング・オブ・タイラント";"PlaceName#5371.0";"duty,map,territory"
"territory";"The Crown of the Immaculate";"Couronne de l'Immaculé";"Corona Inmaculada (inglés transcrito)";"Corona del Inmaculado";"Corona Inmaculada";"";"Corona del Inmaculado";"";"";"イマキュレートクラウン";"PlaceName#3219.0";"duty,map,territory"
"territory";"The Cuff of the Father";"Le Poignet du Père";"Puño de manga de Gordias (inglés transcrito)";"Muñeca del Padre";"Brazal del Padre";"";"Brazal del Padre";"";"";"カフ・オブ・ゴルディオス";"PlaceName#1633.0";"duty,map,territory"
"territory";"The Cuff of the Son";"Le Poignet du Fils";"Puño de manga de Midas (inglés transcrito)";"Muñeca del Hijo";"Brazal del Hijo";"";"Brazal del Hijo";"";"";"カフ・オブ・ミダース";"PlaceName#1714.0";"duty,map,territory"
"territory";"The Dæmons' Nest";"Maternité démoniaque";"Casa de alumbramiento de todos los demonios";"Nido de los Demonios";"Cubil de los Demonios";"";"Nido de los Demonios";"";"";"万魔の産屋";"PlaceName#4362.0";"duty,map,territory"
"territory";"The Dancing Plague";"Salle de bal de Titania";"Salón de baile del rey de las hadas";"Plaga Danzante";"Danza de la Plaga";"";"Salón de baile de Titania";"";"";"妖精王の舞踏場";"PlaceName#3218.0";"duty,map,territory"
"territory";"The Dark Inside";"Prison lunaire";"Fondo de la luna";"Oscuridad Interior";"Tinieblas Interiores";"";"Prisión Lunar";"";"";"月の底";"PlaceName#3684.0";"duty,map,territory"
"territory";"The Dead Ends";"L'Issue aux Impasses";"Remanente (inglés transcrito)";"Caminos sin Salida";"Callejones sin Salida";"";"Caminos sin Salida";"";"";"レムナント";"PlaceName#3991.0,PlaceName#4100.0";"duty,map,marker,territory"
"territory";"The Diadem";"Le Diadème";"Islas Diadema";"La Diadema";"Archipiélago de la Diadema";"Diadem";"La Diadema";"el Diadem";"Protegido en el glosario; revisar esa protección si se traduce.";"ディアデム諸島";"PlaceName#1647.0";"duty,map,territory"
"territory";"The Dire Deepcroft";"Cimetière désaffecté";"Sepulcro abandonado";"Cripta Funesta";"Sepulcro Siniestro";"";"Cripta Funesta";"";"";"廃墓所";"PlaceName#4768.0";"map,territory"
"territory";"The Doman Enclave";"Quartier enclavé de Doma";"Barrio de los habitantes de Doma";"Enclave de Doma";"Barrio de Doma";"";"Enclave de Doma";"el Enclave de Doma";"";"ドマ町人地";"PlaceName#2507.0,PlaceName#2813.0";"aetheryte,map,marker,territory"
"territory";"The Dravanian Forelands";"Avant-pays dravanien";"Tierras altas de Dravania";"Tierras Altas de Dravania";"Estribaciones de Dravania";"Antepaís Dravaniano";"Tierras Altas de Dravania";"";"Decidir la pareja Forelands/Hinterlands con un criterio común.";"高地ドラヴァニア";"PlaceName#2000.0";"duty,map,marker,territory"
"territory";"The Dravanian Hinterlands";"Arrière-pays dravanien";"Tierras bajas de Dravania";"Tierras Bajas de Dravania";"Interior de Dravania";"Traspaís Dravaniano";"Tierras Bajas de Dravania";"el interior de Dravania";"Decidir la pareja Forelands/Hinterlands con un criterio común.";"低地ドラヴァニア";"PlaceName#2001.0";"duty,map,marker,territory"
"territory";"The Drowned City of Skalla";"Cité engloutie de Skalla";"Skalla (nombre transcrito)";"Ciudad Sumergida de Skalla";"Ciudad Anegada de Skalla";"";"Ciudad Sumergida de Skalla";"";"";"スカラ";"PlaceName#2367.0";"duty,map,marker,territory"
"territory";"The Dungeons of Lyhe Ghiah";"Donjon hypogéen du Lyhe Ghiah";"Mazmorra de Lyhe Ghiah (inglés transcrito)";"Mazmorras de Lyhe Ghiah";"Calabozos de Lyhe Ghiah";"";"Mazmorras de Lyhe Ghiah";"";"";"リェー・ギア・ダンジョン";"PlaceName#3229.0";"duty,map,territory"
"territory";"The Dying Gasp";"Râle de l'Agonie";"Amaurot del fin del mundo";"Último Aliento";"Estertor Final";"";"Último Aliento";"";"";"終末のアーモロート";"PlaceName#3220.0";"duty,map,territory"
